Municipios,Edad media de la población,Población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona,Distribución de la renta P80/P20,Índice de Gini
33077 Villayón,"56,5",1.102,35,"43,1","98,7","6,4","2,4",18.173,16.450,33.556,14.045,29.912,12.520,2,"22,9"
33078 Yernes y Tameza,55,135,"51,5","32,6",100,"5,2",2,19.314,19.950,33.486,16.236,29.277,14.195,"2,4","25,8"
34001 Abarca de Campos,"55,1",42,"36,8","35,7","85,7","4,8","2,2",.,.,37.008,18.382,31.167,15.480,.,.
34003 Abia de las Torres,"52,2",165,40,"29,1","96,4","8,5","2,4",22.220,18.900,42.552,18.052,35.662,15.129,"2,7","29,5"
34004 Aguilar de Campoo,"46,8",6.602,"35,4","22,8","91,6","13,7","2,2",21.333,19.950,39.959,17.968,33.117,14.891,"2,1","25,5"
34005 Alar del Rey,"51,2",924,"44,8","30,3","89,6","10,7","2,1",18.143,15.750,30.963,14.958,26.518,12.811,"2,3",28
34006 Alba de Cerrato,"53,8",82,29,"34,2",100,"13,4","2,2",.,.,37.393,17.307,31.516,14.587,.,.
34009 Amayuelas de Arriba,"57,6",36,50,"47,2","97,2","8,3",2,.,.,37.008,18.382,31.167,15.480,.,.
34010 Ampudia,"52,2",569,"33,3","31,3","96,5","7,2","2,4",20.918,19.250,39.944,16.837,33.917,14.296,"2,5","25,6"
34011 Amusco,"52,6",423,"40,4","31,9","98,8",8,"2,1",20.209,19.250,35.366,16.459,30.081,13.999,"2,6","28,6"
34012 Antigüedad,"54,6",328,44,"33,2","98,5",4,"2,3",23.452,19.250,43.654,18.613,36.572,15.594,"2,7","29,8"
34015 Arconada,"55,8",45,60,"44,4",100,0,"1,8",.,.,37.008,18.382,31.167,15.480,.,.
34017 Astudillo,"52,3",991,"41,9","33,5","97,1","9,2","2,1",21.271,19.250,38.579,17.899,32.409,15.036,"2,3","28,4"
34018 Autilla del Pino,"53,4",211,"38,1","32,2","98,1","6,6","2,2",23.533,22.750,44.102,20.161,36.332,16.609,"2,7","27,2"
34019 Autillo de Campos,"54,4",128,"42,6","34,4","88,3","9,4","2,1",20.967,16.450,35.933,17.124,30.442,14.507,"2,6","30,8"
34020 Ayuela,"60,8",53,"38,5","41,5","98,1",0,2,.,.,33.137,16.314,28.679,14.119,.,.
34022 Baltanás,"51,1",1.216,"33,8",33,"94,9","11,8","2,3",19.200,17.850,35.121,15.471,29.853,13.150,"2,3","26,6"
34023 Venta de Baños,"45,2",6.240,"29,5",23,"94,5","16,7","2,4",19.441,18.550,37.121,15.788,31.481,13.389,"2,1","24,2"
34024 Baquerín de Campos,"58,5",25,"27,3",36,88,8,"2,3",.,.,37.008,18.382,31.167,15.480,.,.
34025 Bárcena de Campos,"66,4",55,"61,8","52,7","96,4",0,"1,6",.,.,37.008,18.382,31.167,15.480,.,.
34027 Barruelo de Santullán,"52,1",1.180,"55,1","32,3","96,9","10,2","1,8",18.822,17.850,29.906,16.182,25.833,13.978,"2,4","27,3"
34028 Báscones de Ojeda,"56,7",135,"28,6","41,5","98,5","4,4","2,4",18.410,15.400,34.322,14.237,29.028,12.041,"2,8","25,9"
34029 Becerril de Campos,"52,5",758,"33,9","33,8",98,10,"2,3",19.519,17.850,36.360,15.583,31.109,13.332,"2,1","26,4"
34031 Belmonte de Campos,"54,4",33,"27,3","33,3","93,9",3,3,.,.,37.008,18.382,31.167,15.480,.,.
34032 Berzosilla,"54,1",43,"61,5","34,9",93,"4,7","1,6",.,.,.,.,.,.,.,.
34033 Boada de Campos,"58,1",19,50,"31,6",100,0,"1,9",.,.,37.008,18.382,31.167,15.480,.,.
34034 Boadilla del Camino,"55,6",120,"39,2","33,3","98,3","5,8","2,4",20.330,21.000,37.650,15.819,32.344,13.590,2,"21,1"
34035 Boadilla de Rioseco,"57,9",99,"47,1","43,4","89,9","7,1","1,9",.,.,37.008,18.382,31.167,15.480,.,.
34036 Brañosera,"53,3",254,"59,7","34,3","95,7","9,8","1,8",20.035,17.150,31.432,17.712,26.310,14.826,"2,8","34,5"
34037 Buenavista de Valdavia,"52,9",309,"49,7","33,7","90,3","8,4","2,2",18.536,17.150,32.464,15.107,28.033,13.045,"2,5","25,8"
34038 Bustillo de la Vega,"56,2",275,"38,5",36,"96,4","4,7","2,3",22.960,19.950,42.980,18.980,35.469,15.663,"2,5","29,7"
34039 Bustillo del Páramo de Carrión,"66,3",53,"40,7","60,4",100,0,2,.,.,33.137,16.314,28.679,14.119,.,.
34041 Calahorra de Boedo,"58,4",87,40,"47,1","98,9","10,3","2,2",.,.,38.908,17.195,32.890,14.535,.,.
34042 Calzada de los Molinos,"51,9",310,"23,6","31,6","96,8",9,"2,4",18.559,16.450,35.939,14.729,31.118,12.753,"2,1","25,1"
34045 Capillas,"58,7",71,"43,8","45,1",100,"5,6","2,2",.,.,37.008,18.382,31.167,15.480,.,.
34046 Cardeñosa de Volpejera,"52,2",37,"43,8","29,7","86,5","5,4","2,3",.,.,37.008,18.382,31.167,15.480,.,.
34047 Carrión de los Condes,"48,5",1.950,"32,5","28,4","90,8","13,9","2,3",18.431,17.150,35.042,14.775,29.988,12.644,"2,5","28,3"
34048 Castil de Vela,"58,5",57,"53,1","38,6",100,"1,8","1,8",.,.,37.008,18.382,31.167,15.480,.,.
34049 Castrejón de la Peña,57,331,"39,1","43,2","99,7","5,7","2,1",20.438,20.650,36.007,16.912,30.748,14.442,"2,1",24
34050 Castrillo de Don Juan,"58,9",185,49,"42,2","98,9","4,9","1,9",19.322,18.550,31.211,16.534,27.266,14.444,"2,7","31,9"
34051 Castrillo de Onielo,"52,7",99,"41,9","33,3",99,"11,1","2,3",.,.,37.393,17.307,31.516,14.587,.,.
34052 Castrillo de Villavega,60,175,"48,3","45,1",100,"2,9",2,18.569,15.750,30.279,15.402,26.224,13.339,"2,6","27,9"
34053 Castromocho,"51,6",203,"36,8","27,1","98,5","8,9","2,3",18.673,16.450,35.449,15.092,29.991,12.768,"2,9",30
34055 Cervatos de la Cueza,"54,7",258,"46,9","36,1","95,7","4,7",2,19.708,17.150,32.028,16.139,27.384,13.799,"2,7","29,7"
34056 Cervera de Pisuerga,"48,8",2.250,42,"26,7","94,2","12,9","2,1",19.065,17.150,33.772,16.056,28.633,13.613,"2,4","27,9"
34057 Cevico de la Torre,"53,9",398,"39,2","35,9","98,7","7,3","2,3",20.249,19.250,37.299,16.494,31.913,14.112,"2,1","26,4"
34058 Cevico Navero,"59,1",178,"41,9","45,5","98,9","4,5","2,1",20.377,18.550,34.029,16.241,29.127,13.902,"2,5","25,9"
34059 Cisneros,"54,8",388,37,"36,6","97,7","7,7","2,2",17.546,16.450,31.588,14.030,27.839,12.365,"2,3","26,8"
34060 Cobos de Cerrato,"54,7",133,"48,4","35,3","99,3","5,3","2,1",17.113,14.350,30.275,13.991,25.834,11.938,"2,2","25,2"
34061 Collazos de Boedo,"54,4",107,37,"35,5","92,5","5,6","2,3",18.779,17.150,31.358,13.481,27.301,11.737,"2,7","27,3"
34062 Congosto de Valdavia,"59,7",141,"45,7","47,5","99,3","1,4",2,19.450,17.150,32.619,16.194,28.302,14.051,"2,3","23,3"
34063 Cordovilla la Real,"48,7",134,"34,6","28,4","82,1","15,7","2,6",17.892,17.150,35.685,13.848,30.534,11.849,"2,2","24,6"
34066 Cubillas de Cerrato,"51,3",62,"44,8","33,9","95,2","8,1","2,1",.,.,37.393,17.307,31.516,14.587,.,.
34067 Dehesa de Montejo,"56,5",132,"40,4","34,9","99,2","5,3","2,3",22.506,22.050,41.815,18.057,35.730,15.429,2,"23,6"
34068 Dehesa de Romanos,"45,2",42,"31,3","19,1","57,1","9,5","2,6",.,.,38.908,17.195,32.890,14.535,.,.
34069 Dueñas,"47,2",2.555,"30,7","24,5","94,5","14,3","2,4",19.626,18.550,37.074,15.768,31.581,13.432,"2,1","23,9"
34070 Espinosa de Cerrato,"61,8",123,40,"48,8","95,9","3,3",2,15.629,11.550,27.375,13.239,23.595,11.411,"3,6","37,4"
34071 Espinosa de Villagonzalo,"56,6",170,"37,1","38,8","88,8","5,3","2,4",19.005,16.450,35.018,14.483,30.344,12.550,"2,8","33,9"
34072 Frechilla,"58,2",135,"43,8","44,4","98,5","2,2","2,1",23.411,19.950,42.321,20.063,35.021,16.602,"2,9","32,8"
34073 Fresno del Río,"58,4",178,"50,6","38,2","99,4","3,4",2,22.026,20.650,37.786,18.249,32.475,15.684,"1,8","24,2"
34074 Frómista,52,724,"34,7","33,2","96,3","9,8","2,2",19.950,19.250,35.930,16.323,30.574,13.889,"2,1","26,3"
34076 Fuentes de Nava,"50,5",593,38,"27,8","92,4","8,9","2,3",18.466,16.450,34.975,15.525,29.374,13.038,"2,6","32,9"
34077 Fuentes de Valdepero,"41,3",482,"28,9","17,2",99,"18,3","2,5",22.024,21.350,43.104,17.564,35.889,14.624,2,"23,5"
34079 Grijota,"38,6",2.698,"25,3","10,6","96,3","23,5","2,6",22.279,20.650,46.670,18.067,37.884,14.665,"2,3",27
34080 Guardo,50,5.649,"36,8","27,9","97,7","10,7","2,1",19.406,17.850,34.762,16.178,29.604,13.778,"2,2","25,9"
34081 Guaza de Campos,"60,3",57,"57,6","45,6",100,"5,3","1,7",.,.,37.008,18.382,31.167,15.480,.,.
34082 Hérmedes de Cerrato,"66,6",74,"42,9","60,8",100,0,"1,8",.,.,37.393,17.307,31.516,14.587,.,.
34083 Herrera de Pisuerga,"50,4",1.862,39,"30,3","95,2","12,7","2,1",17.993,15.750,31.328,14.842,26.970,12.778,"2,6","29,2"
34084 Herrera de Valdecañas,"54,8",151,"35,4","36,4","96,7","7,3","2,3",22.298,20.650,42.998,18.509,35.900,15.454,"2,4","26,4"
34086 Hontoria de Cerrato,53,110,42,"31,8","98,2","5,5","2,2",23.501,23.450,44.244,20.111,36.997,16.817,"2,6","24,9"
34087 Hornillos de Cerrato,"50,5",171,"33,9","33,9","92,4","12,9","2,6",21.507,22.050,44.135,16.714,37.735,14.290,2,"22,9"
34088 Husillos,"44,2",393,"36,6","21,6","95,4","17,1","2,3",20.149,17.850,38.468,17.020,31.760,14.052,"2,5","29,8"
34089 Itero de la Vega,"57,9",145,"38,5","42,8",100,"5,5","2,2",21.546,18.550,39.984,17.924,33.616,15.069,"2,9","34,5"
34091 Lagartos,"58,2",121,"45,5","42,2",100,"8,3","2,2",16.485,15.050,29.635,13.470,26.088,11.858,2,"26,1"
34092 Lantadilla,60,281,"45,8","44,8","98,2","5,7",2,19.565,15.750,33.085,16.661,28.126,14.164,"2,8","33,3"
"34093 Vid de Ojeda, La","52,2",95,"24,4","34,7","86,3","11,6","2,3",.,.,38.908,17.195,32.890,14.535,.,.
34094 Ledigos,"58,8",64,"55,9","42,2","95,3","3,1","1,9",.,.,33.137,16.314,28.679,14.119,.,.
34096 Lomas,"63,2",41,"52,2","53,7",100,"2,4","1,8",.,.,37.008,18.382,31.167,15.480,.,.
34098 Magaz de Pisuerga,44,1.013,"30,3","16,1","92,2","14,7","2,3",19.498,18.550,36.647,15.929,30.830,13.400,"2,1",25
34099 Manquillos,"50,8",53,"30,8","30,2","94,3","3,8",2,.,.,37.008,18.382,31.167,15.480,.,.
34100 Mantinos,"53,2",143,"27,9","32,2","98,6","7,7","2,3",25.260,20.300,47.819,20.398,39.615,16.899,"2,4","24,5"
34101 Marcilla de Campos,"59,2",49,"52,4",49,100,"6,1","2,3",.,.,37.008,18.382,31.167,15.480,.,.
34102 Mazariegos,"51,8",208,"32,5","33,2","99,5","9,1","2,5",22.481,21.350,45.739,18.251,38.139,15.219,"2,2","23,2"
34103 Mazuecos de Valdeginate,"60,9",86,"57,1","45,4",100,"1,2","1,8",.,.,37.008,18.382,31.167,15.480,.,.
34104 Melgar de Yuso,"56,8",263,"43,9","45,6","97,7","5,7",2,20.546,18.550,36.123,17.855,30.522,15.087,"2,4","30,6"
34106 Meneses de Campos,"61,2",96,"49,1","44,8",99,0,"1,8",.,.,37.008,18.382,31.167,15.480,.,.
34107 Micieces de Ojeda,"63,8",71,"35,3","49,3",100,0,"2,1",.,.,38.908,17.195,32.890,14.535,.,.
34108 Monzón de Campos,"48,4",579,"38,7","26,1","96,2","12,6","2,3",17.408,17.150,32.416,14.126,27.963,12.185,3,"28,2"
34109 Moratinos,"61,4",66,"24,1","51,5","90,9","4,6","2,3",.,.,37.008,18.382,31.167,15.480,.,.
34110 Mudá,"53,7",75,"59,1",32,100,"6,7","1,7",.,.,.,.,.,.,.,.
34112 Nogal de las Huertas,"55,4",47,"47,6","36,2",100,"12,8","2,2",.,.,37.008,18.382,31.167,15.480,.,.
34113 Olea de Boedo,"55,3",36,"41,2","30,6",100,"5,6","2,1",.,.,38.908,17.195,32.890,14.535,.,.
34114 Olmos de Ojeda,"61,8",178,"42,5","46,6","96,1","1,7",2,17.926,15.750,30.573,14.943,26.215,12.813,"2,5","30,3"
34116 Osornillo,"60,5",59,"59,3","45,8",100,"3,4","2,2",.,.,37.008,18.382,31.167,15.480,.,.
34120 Palencia,"46,9",75.171,"34,1","25,7","94,4","14,8","2,2",21.101,19.250,40.054,17.772,33.265,14.760,"2,5","29,1"
34121 Palenzuela,"52,9",212,"37,5","35,4","88,2",8,"2,2",16.997,15.050,31.497,14.099,26.859,12.023,"2,6","28,7"
34122 Páramo de Boedo,"52,6",92,"40,5","28,3","85,9","7,6","2,2",.,.,38.908,17.195,32.890,14.535,.,.
34123 Paredes de Nava,"48,9",1.862,"33,4","26,8","94,2",12,"2,4",18.186,16.450,35.866,14.835,30.334,12.547,"2,7","29,7"
34124 Payo de Ojeda,"52,2",59,"45,8","37,3",100,"10,2","2,5",.,.,38.908,17.195,32.890,14.535,.,.
34125 Pedraza de Campos,"57,1",75,"46,2","42,7","97,3","2,7","1,9",.,.,37.008,18.382,31.167,15.480,.,.
34126 Pedrosa de la Vega,"53,4",287,"33,3","35,2","88,9","9,4","2,5",18.443,17.850,36.595,14.664,31.032,12.435,"2,4","31,2"
34127 Perales,"54,9",100,"43,2",40,96,6,"2,3",21.954,20.650,40.517,17.365,34.004,14.573,"2,4","28,6"
34129 Pino del Río,"59,1",162,"47,7","40,7","98,2","3,7","1,9",20.313,19.950,32.666,17.341,27.990,14.859,"2,6","28,4"
34130 Piña de Campos,"55,8",197,"43,6","37,1",100,"5,6","2,1",19.699,17.150,37.933,18.100,28.136,13.425,3,"33,4"
34131 Población de Arroyo,"71,3",45,"57,7","68,9","97,8",0,"1,7",.,.,37.008,18.382,31.167,15.480,.,.
34132 Población de Campos,"53,7",127,53,"35,4","92,9","7,9","1,9",19.805,16.450,32.278,16.526,27.320,13.988,"2,9","29,5"
34133 Población de Cerrato,"54,9",103,"47,1","38,8",99,"8,7",2,17.081,13.650,27.936,13.832,24.632,12.197,"2,8","32,2"
34134 Polentinos,"58,7",45,"62,5","42,2",100,"6,7","1,9",.,.,.,.,.,.,.,.
34135 Pomar de Valdivia,"50,1",468,"44,6","31,4","94,2","11,8","2,1",20.294,19.250,36.237,16.568,30.866,14.112,"2,2","25,7"
34136 Poza de la Vega,"56,1",167,"36,8","44,9",97,"8,4","2,2",16.794,15.750,29.016,13.205,25.659,11.677,"2,5",28
34137 Pozo de Urama,63,19,25,"42,1",100,0,"2,4",.,.,37.008,18.382,31.167,15.480,.,.
34139 Prádanos de Ojeda,"47,3",177,40,"23,2","94,4","14,1","2,4",16.732,15.050,30.758,12.904,27.033,11.341,"2,3","27,2"
"34140 Puebla de Valdavia, La","63,9",84,"55,3","53,6","98,8","2,4","1,8",.,.,33.137,16.314,28.679,14.119,.,.
34141 Quintana del Puente,"46,8",236,"30,1","23,7",86,"18,6","2,5",18.908,15.050,40.782,15.017,34.489,12.699,3,"37,7"
34143 Quintanilla de Onsoña,"55,5",180,"43,4","33,9","94,4","9,4","2,2",19.079,15.750,35.065,16.169,29.331,13.525,3,"32,6"
34146 Reinoso de Cerrato,"56,3",56,"54,8","41,1","96,4","5,4","1,8",.,.,37.393,17.307,31.516,14.587,.,.
34147 Renedo de la Vega,"52,5",199,"41,9","31,7","96,5","11,1","2,3",20.057,18.550,38.341,16.432,32.361,13.869,"2,5","28,3"
34149 Requena de Campos,"61,9",28,"52,9","42,9",100,0,"1,6",.,.,37.008,18.382,31.167,15.480,.,.
34151 Respenda de la Peña,"61,7",147,"44,4","47,6","99,3",2,2,18.569,17.850,31.429,15.284,27.755,13.497,"2,2","24,7"
34152 Revenga de Campos,"52,5",138,"38,5",37,"83,3",8,"2,1",16.700,14.350,31.623,14.757,26.446,12.341,"2,6","30,4"
34154 Revilla de Collazos,"58,5",78,"47,1","47,4",100,"2,6","2,3",.,.,38.908,17.195,32.890,14.535,.,.
34155 Ribas de Campos,"52,8",154,"40,3","29,2","86,4","5,2",2,21.042,19.250,35.986,17.874,30.562,15.180,"2,5","25,6"
34156 Riberos de la Cueza,"58,8",55,"45,8","38,2",100,"3,6","2,3",.,.,37.008,18.382,31.167,15.480,.,.
34157 Saldaña,"47,3",2.891,41,"25,6","90,2","14,2","2,2",18.690,16.450,34.299,15.508,28.842,13.040,"2,5","29,3"
34158 Salinas de Pisuerga,"50,2",266,"45,9","25,9","96,6","7,5",2,22.360,19.950,38.614,19.597,31.948,16.214,"2,3","25,1"
34159 San Cebrián de Campos,"49,3",362,"44,4","25,1","94,2","9,4","2,1",19.540,18.550,35.428,16.487,29.776,13.857,"2,3","27,9"
34160 San Cebrián de Mudá,"52,5",146,"38,8","31,5","98,6","11,6","2,2",20.281,19.250,36.383,16.696,31.144,14.292,"2,3","24,4"
34161 San Cristóbal de Boedo,"63,8",19,"54,6","52,6",100,0,"1,7",.,.,38.908,17.195,32.890,14.535,.,.
34163 San Mamés de Campos,"58,5",46,44,50,100,"8,7","1,8",.,.,37.008,18.382,31.167,15.480,.,.
34165 San Román de la Cuba,"58,7",54,"38,5","38,9","98,2",0,"2,1",.,.,37.008,18.382,31.167,15.480,.,.
34167 Santa Cecilia del Alcor,59,95,"37,2","46,3",100,"3,2","2,2",.,.,37.008,18.382,31.167,15.480,.,.
34168 Santa Cruz de Boedo,60,49,50,49,98,"4,1",2,.,.,38.908,17.195,32.890,14.535,.,.
34169 Santervás de la Vega,"53,2",404,"41,5","37,6","94,3","10,2","2,1",19.316,15.050,34.408,15.920,29.050,13.441,"2,7","34,3"
34170 Santibáñez de Ecla,"67,9",47,"42,1","55,3","97,9",0,"2,5",.,.,38.908,17.195,32.890,14.535,.,.
34171 Santibáñez de la Peña,"54,9",961,46,"36,4","98,3","7,9",2,20.252,19.250,34.631,16.971,29.883,14.644,"2,1","23,3"
34174 Santoyo,"55,3",190,"44,7","36,3","98,4","6,8",2,20.116,18.550,34.879,17.256,29.887,14.786,"2,4",28
"34175 Serna, La","57,5",89,"39,5","39,3","95,5","3,4","2,3",.,.,33.137,16.314,28.679,14.119,.,.
34176 Sotobañado y Priorato,"49,8",158,"45,6","30,4","99,4","13,9","2,3",19.746,18.550,36.316,15.630,31.143,13.403,"2,5","26,9"
34177 Soto de Cerrato,"55,9",175,"30,1","35,4",100,"2,9","2,4",21.028,20.650,40.825,16.893,34.548,14.296,"2,1","27,4"
34178 Tabanera de Cerrato,"49,2",138,"35,7","28,3",92,"10,1","2,5",17.713,17.850,35.754,14.509,31.098,12.619,2,"26,3"
34179 Tabanera de Valdavia,"61,4",24,"68,8","45,8",100,"4,2","1,5",.,.,33.137,16.314,28.679,14.119,.,.
34180 Támara de Campos,"54,8",75,"61,5","41,3",100,8,"1,9",.,.,37.008,18.382,31.167,15.480,.,.
34181 Tariego de Cerrato,"47,7",485,"31,3","24,3","95,5","13,4","2,3",19.744,17.850,37.302,15.997,31.770,13.625,"2,1","25,1"
34182 Torquemada,"48,7",922,37,"28,5",91,"14,6","2,3",17.392,16.450,33.162,13.991,28.641,12.084,"2,5","28,5"
34184 Torremormojón,"59,1",44,"33,3",50,"93,2","4,6","2,1",.,.,37.008,18.382,31.167,15.480,.,.
34185 Triollo,"54,6",74,50,"37,8","97,3","5,4","2,3",.,.,.,.,.,.,.,.
34186 Valbuena de Pisuerga,"54,5",54,"22,7","40,7","92,6","3,7","2,5",.,.,37.393,17.307,31.516,14.587,.,.
34189 Valdeolmillos,59,56,"40,7","42,9","94,6","5,4","2,1",.,.,37.393,17.307,31.516,14.587,.,.
34190 Valderrábano,"61,8",49,"33,3","44,9",100,2,"2,7",.,.,33.137,16.314,28.679,14.119,.,.
34192 Valde-Ucieza,"58,3",82,"51,2","35,4",100,"4,9","1,9",.,.,37.008,18.382,31.167,15.480,.,.
34196 Valle de Cerrato,"55,4",82,"43,2","36,6",100,"2,4","2,2",.,.,37.393,17.307,31.516,14.587,.,.
34199 Velilla del Río Carrión,54,1.149,"38,6","33,9","99,5","7,8","2,1",20.872,19.950,37.490,17.781,31.614,14.994,"2,3","25,3"
34201 Vertavillo,"59,3",162,"46,3","40,1","97,5","1,2","1,7",19.860,16.450,31.558,18.506,26.499,15.539,"2,4","33,3"
34202 Villabasta de Valdavia,"56,1",33,"18,2","42,4","84,9",0,3,.,.,33.137,16.314,28.679,14.119,.,.
34204 Villacidaler,"67,4",46,"63,3","67,4","97,8",0,"1,5",.,.,37.008,18.382,31.167,15.480,.,.
34205 Villaconancio,"56,1",55,32,"30,9","90,9","5,5","2,2",.,.,37.393,17.307,31.516,14.587,.,.
34206 Villada,"51,2",828,"38,3","31,4","98,1","11,2","2,2",17.783,15.750,31.956,14.621,27.593,12.625,2,"23,6"
34208 Villaeles de Valdavia,"60,9",49,"70,6","44,9",100,"4,1","1,4",.,.,33.137,16.314,28.679,14.119,.,.
34210 Villahán,"54,3",99,"34,2","30,3",99,4,"2,4",.,.,37.393,17.307,31.516,14.587,.,.
34211 Villaherreros,"53,7",217,"29,5","39,2","92,2","10,6","2,3",20.412,17.850,37.968,16.555,31.907,13.912,"2,9","31,4"
34213 Villalaco,55,57,48,"36,8","96,5",7,"2,3",.,.,37.008,18.382,31.167,15.480,.,.
34214 Villalba de Guardo,"57,1",202,"32,6","37,6",100,4,"2,4",23.856,22.050,46.887,19.791,39.395,16.629,"1,9","24,2"
34215 Villalcázar de Sirga,"54,3",175,"41,8","37,1","97,1","6,9","2,2",24.689,19.250,49.420,21.676,39.552,17.347,"2,2","36,6"
34216 Villalcón,"60,7",53,"42,3","47,2",100,"3,8",2,.,.,37.008,18.382,31.167,15.480,.,.
34217 Villalobón,"37,3",1.873,"23,7","10,4","96,4","23,5","2,6",21.652,19.950,45.047,17.285,36.996,14.196,"2,1","24,6"
34218 Villaluenga de la Vega,"50,6",498,"41,8","29,9","85,7","13,1","2,2",19.084,16.450,35.766,15.535,30.072,13.062,"2,6",31
34220 Villamartín de Campos,"46,3",175,"30,9","18,3","94,9","12,6","2,6",19.804,19.250,41.107,15.774,33.954,13.029,"2,3","26,2"
34221 Villamediana,"51,4",181,"42,7","30,9",100,"9,9","2,2",22.290,19.950,40.001,18.122,33.858,15.339,"2,4","27,1"
34222 Villameriel,"55,7",112,"42,6","32,1",100,8,"2,1",19.193,19.950,33.585,16.036,28.297,13.511,"2,5","27,3"
34223 Villamoronta,"51,2",251,"39,3","32,7","88,1",10,"2,2",18.097,17.150,34.175,15.158,28.838,12.791,"2,8","31,3"
34224 Villamuera de la Cueza,"63,1",38,"42,9","52,6",100,"2,6","1,8",.,.,37.008,18.382,31.167,15.480,.,.
34225 Villamuriel de Cerrato,"41,4",6.420,"24,9","16,1","95,2","19,5","2,5",19.732,18.550,39.846,15.580,33.654,13.159,2,24
34227 Villanueva del Rebollar,"56,4",69,"27,3","27,5","98,6","1,5","3,1",.,.,37.008,18.382,31.167,15.480,.,.
34228 Villanuño de Valdavia,"57,2",92,"39,5","40,2",87,"9,8","2,1",.,.,33.137,16.314,28.679,14.119,.,.
34229 Villaprovedo,"65,6",52,"45,2",50,"96,2","1,9","1,7",.,.,38.908,17.195,32.890,14.535,.,.
34230 Villarmentero de Campos,"55,6",20,"63,6",55,100,5,"1,8",.,.,37.008,18.382,31.167,15.480,.,.
34231 Villarrabé,"61,7",183,"40,7","43,2","99,5",0,"2,1",19.449,17.150,33.829,15.799,29.171,13.624,"2,5",25
34232 Villarramiel,"52,3",809,"38,4","30,3","94,4","7,4","2,1",18.586,16.100,33.833,15.574,28.876,13.292,"2,5","30,8"
34233 Villasarracino,"59,2",138,"47,8","42,8","94,9","5,8","2,1",20.295,19.950,36.010,17.338,30.148,14.516,"2,3","28,2"
34234 Villasila de Valdavia,"54,9",63,"39,3","44,4",100,"4,8","2,3",.,.,33.137,16.314,28.679,14.119,.,.
34236 Villaturde,"59,6",139,"55,4","40,3","98,6","2,2","1,9",19.224,18.200,28.922,15.299,25.209,13.335,"2,6",30
34237 Villaumbrales,"49,2",640,"35,4",28,"98,6","10,8","2,3",17.825,17.150,32.256,14.280,28.077,12.430,"2,4","23,9"
34238 Villaviudas,"52,2",359,"33,8","36,2","93,3","10,6","2,5",19.693,17.850,38.770,15.530,32.790,13.134,"2,3",25
34240 Villerías de Campos,"56,9",73,"31,3","27,4",100,0,"2,3",.,.,37.008,18.382,31.167,15.480,.,.
34241 Villodre,"59,2",21,75,"42,9",100,0,"1,8",.,.,37.008,18.382,31.167,15.480,.,.
34242 Villodrigo,"54,2",106,"39,1","31,1","87,7","2,8","2,3",23.781,20.650,45.281,19.406,37.719,16.165,"2,4","30,9"
34243 Villoldo,"53,9",336,39,"37,8","94,6","6,9","2,1",21.330,19.250,38.537,18.176,32.016,15.100,"2,3","29,2"
34245 Villota del Páramo,"58,2",306,"43,5","40,5",99,"3,9","2,1",18.252,16.450,31.597,15.071,27.338,13.040,"1,9","23,5"
34246 Villovieco,"61,3",66,"55,9",53,"93,9","4,6","1,9",.,.,37.008,18.382,31.167,15.480,.,.
34901 Osorno la Mayor,"52,1",1.173,"36,6","33,3","94,5","9,8","2,3",19.852,17.850,36.552,16.110,30.853,13.598,"2,3","28,2"
34902 Valle del Retortillo,"48,7",169,"44,3",32,"91,1","14,8","2,4",18.531,17.150,36.529,15.130,30.737,12.731,4,"33,6"
34903 Loma de Ucieza,"59,9",171,"44,4","39,2","99,4","2,3","2,1",20.338,18.550,37.539,16.568,31.876,14.068,"2,4","31,7"
"34904 Pernía, La","55,6",318,"51,5","32,4","99,4","5,7","1,9",20.557,19.950,34.414,17.752,29.613,15.275,"2,1","26,2"
35001 Agaete,"46,3",5.552,"32,1","20,6","93,4","11,7","2,5",19.474,17.150,38.285,15.378,32.584,13.088,"2,4","28,8"
35002 Agüimes,"41,1",32.111,"27,2",13,"92,4",17,"2,7",18.559,17.150,39.241,14.160,33.478,12.081,"2,3",28
35003 Antigua,"43,9",13.421,"32,5","17,6","55,2","14,4","2,4",17.587,15.050,32.889,12.849,27.477,10.735,"3,1","35,4"
35004 Arrecife,"39,8",63.813,"27,1","12,5","80,6","17,5","2,8",17.077,15.050,37.169,13.051,31.739,11.144,"2,4","29,5"
35005 Artenara,"51,5",1.022,"41,7",28,"99,2","5,5","2,3",22.029,19.950,41.035,17.916,34.878,15.227,"2,4","28,4"
35006 Arucas,"43,4",38.415,"24,5","16,6","97,4","14,9","2,7",19.560,17.150,41.435,15.227,35.010,12.866,"2,5","28,8"
35007 Betancuria,"44,9",775,"40,7","21,2",81,"13,2","2,3",22.118,19.250,41.597,16.606,35.031,13.985,"2,4","32,9"
35008 Firgas,"44,2",7.676,"24,5","17,6","98,1","14,1","2,8",19.058,17.150,40.194,14.532,34.424,12.446,"2,4","27,8"
