Municipios,Edad media de la población,Población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona,Distribución de la renta P80/P20,Índice de Gini
01902 Lantarón,"49,1",937,"37,1","26,3","91,5","11,5","2,5",21.644,19.250,44.327,17.977,37.112,15.051,"3,2","33,6"
02001 Abengibre,"51,6",739,"30,5","33,8","94,2","9,2","2,5",19.598,17.150,37.804,15.122,32.657,13.063,"2,6","30,3"
02002 Alatoz,"53,3",503,"38,2","35,8","88,7","8,6","2,1",15.925,15.050,27.007,12.607,24.306,11.346,"2,1","27,7"
02003 Albacete,"42,5",171.274,"28,1","17,8",94,"17,9","2,6",20.762,18.550,43.540,16.865,35.722,13.836,"2,7","31,1"
02004 Albatana,"50,6",660,"36,8","30,8","94,7","10,9","2,2",15.507,13.650,26.594,12.118,23.630,10.767,"2,4","29,1"
02005 Alborea,"49,1",680,41,26,"86,2","10,4","2,1",14.493,12.950,25.059,11.852,22.177,10.489,"2,4","29,7"
02006 Alcadozo,"50,1",649,"39,9","31,3","98,3","11,4","2,2",15.114,13.650,26.806,12.052,23.819,10.709,"2,1","27,1"
02007 Alcalá del Júcar,51,1.131,"43,7","31,2","93,2","10,2",2,15.548,13.650,25.172,12.630,22.360,11.219,"2,2","28,5"
02008 Alcaraz,"47,1",1.293,"41,5","24,2","96,8","14,1","2,2",17.143,14.350,31.192,13.726,27.166,11.954,"2,3",30
02009 Almansa,"44,4",24.105,"27,5","20,2","94,1","16,4","2,5",17.918,15.750,35.324,14.139,30.012,12.013,"2,3","27,6"
02010 Alpera,"45,6",2.288,"29,7","23,7","90,4","15,4","2,5",15.158,14.350,28.679,11.418,25.572,10.181,"2,2","26,6"
02011 Ayna,"56,8",611,51,"40,6","97,6","4,9","1,8",18.254,15.750,28.403,15.758,24.636,13.668,"2,4","28,8"
02012 Balazote,"42,6",2.385,"29,8","17,8","90,9","16,2","2,5",17.058,15.050,33.681,13.181,29.225,11.437,"2,3",27
02013 Balsa de Ves,"57,2",136,"54,4","37,5","91,9","5,2","1,7",18.083,14.350,28.119,16.246,24.777,14.315,"2,7","30,5"
"02014 Ballestero, El","50,6",414,"37,6","33,1","93,7","12,8","2,1",16.914,15.750,29.420,13.701,25.620,11.931,"2,3","26,3"
02015 Barrax,"43,6",1.863,"31,9","17,7","88,4","15,4","2,5",15.770,14.350,31.073,12.168,26.857,10.517,"2,4","28,3"
02016 Bienservida,"51,3",568,46,"30,6","98,9","9,5",2,15.029,13.650,24.470,12.322,21.798,10.976,"2,1","27,9"
02017 Bogarra,"58,4",746,"49,5","46,1","99,2","7,1","1,8",14.177,12.950,21.763,11.750,19.805,10.693,"2,1","27,6"
02018 Bonete,"48,2",980,"30,4","25,7","87,4","11,7","2,4",17.672,15.750,34.431,14.175,29.963,12.336,"2,6","29,3"
"02019 Bonillo, El","48,2",2.621,34,"24,7","97,4","10,9","2,3",16.970,15.050,31.373,13.301,27.506,11.662,"2,2","25,2"
02020 Carcelén,"53,7",490,"46,3","38,2","91,6","10,6",2,15.327,14.350,25.098,12.342,22.463,11.046,"2,3","27,7"
02021 Casas de Juan Núñez,"44,2",1.350,"40,1",21,"82,1","16,7","2,2",15.436,13.650,27.940,12.439,24.545,10.927,"2,4","27,3"
02022 Casas de Lázaro,"58,8",326,"47,4",42,"99,4","1,2","1,9",18.433,17.150,29.959,16.040,26.183,14.018,"2,5","26,8"
02023 Casas de Ves,"53,1",561,"43,5","34,8","91,4","7,8",2,16.573,15.050,27.762,13.705,24.320,12.006,"2,5",30
02024 Casas-Ibáñez,"44,1",4.575,"29,2","20,4","84,9","16,3","2,5",16.307,14.350,31.951,12.769,27.539,11.006,"2,3","28,8"
02025 Caudete,43,10.077,"28,2","19,4","89,4","18,6","2,5",16.034,15.050,31.279,12.397,26.973,10.690,"2,3","26,9"
02026 Cenizate,"44,9",1.163,"25,2","21,2","83,2","15,5","2,7",14.555,13.650,28.494,10.685,25.393,9.522,"2,2","27,7"
02027 Corral-Rubio,"49,7",302,"39,4","30,5","95,7","10,9","2,3",17.917,15.050,33.367,14.522,29.004,12.623,"2,8","32,7"
02028 Cotillas,"56,1",130,"47,9","32,3","98,5","4,6","1,8",14.400,12.250,22.228,12.077,20.063,10.900,"2,2","30,1"
02029 Chinchilla de Monte-Aragón,"41,9",4.574,"32,7","15,1","95,2","17,6","2,4",18.099,16.450,35.032,14.441,29.640,12.219,"2,2","26,4"
02030 Elche de la Sierra,"45,9",3.570,"33,7","23,1","96,1","14,9","2,3",15.974,14.350,28.963,12.517,25.444,10.996,"2,5","28,4"
02031 Férez,"49,1",619,"49,8","29,1",95,"12,3",2,15.511,13.650,24.744,12.331,22.103,11.015,"2,4","33,3"
02032 Fuensanta,"54,3",297,"53,2","32,7","91,9","7,4","1,9",16.718,14.350,26.197,13.864,22.657,11.990,"2,3","30,6"
02033 Fuente-Álamo,"44,8",2.438,"31,8","21,9","88,6","15,9","2,4",15.137,13.650,27.853,11.707,24.521,10.307,"2,4","29,2"
02034 Fuentealbilla,"46,4",1.828,"32,6","23,7",83,"13,6","2,4",16.171,14.350,31.180,12.741,27.010,11.037,"2,2","28,9"
"02035 Gineta, La","41,6",2.587,"27,9","17,1","92,7","19,4","2,5",17.536,15.750,35.038,13.667,29.968,11.690,"2,2","27,7"
02036 Golosalvo,"58,3",92,"44,9","43,5","98,9","6,5","1,9",.,.,.,.,.,.,.,.
02037 Hellín,"42,2",30.240,"29,1","17,4",90,"17,4","2,6",15.531,13.650,31.152,11.921,26.969,10.320,"2,4","29,4"
"02038 Herrera, La","47,8",314,"41,3","23,3","82,5","12,1","2,2",16.848,14.350,31.425,14.257,26.664,12.097,"3,1","34,1"
02039 Higueruela,"48,6",1.150,29,28,"94,6","12,4","2,5",18.131,16.450,35.175,14.236,30.395,12.301,"2,7","29,8"
02040 Hoya-Gonzalo,"50,1",613,"27,6","30,2","95,3","10,4","2,7",19.631,17.850,41.148,15.059,34.800,12.736,"2,6","27,8"
02041 Jorquera,"55,5",345,"52,2","36,5","95,9","6,1","1,9",15.414,12.250,25.366,13.438,21.976,11.642,"2,5","29,3"
02042 Letur,"50,4",928,"42,7","28,2","96,1","8,6","2,1",15.669,12.950,26.784,12.807,21.406,10.236,"2,7","31,4"
02043 Lezuza,"50,8",1.302,"36,1","28,6",95,"9,1","2,3",16.143,14.350,29.004,12.791,25.399,11.202,"2,2","28,2"
02044 Liétor,"52,2",1.077,"41,7","31,7","98,7","8,7","2,1",15.499,14.350,26.065,12.534,23.135,11.126,"2,4","29,1"
02045 Madrigueras,"44,4",4.680,"26,6","22,6","90,8","17,8","2,6",17.707,15.750,35.474,13.747,30.235,11.717,"2,6","29,6"
02046 Mahora,"44,3",1.496,"27,9",22,"92,1","16,8","2,5",16.021,14.350,30.856,12.429,26.944,10.853,"2,5",29
02047 Masegoso,"56,4",139,"39,7","38,1",100,"5,8",2,23.539,18.550,41.434,19.961,34.254,16.502,"2,2","32,6"
02048 Minaya,"49,5",1.455,36,"29,4","90,7","13,1","2,3",15.634,14.350,28.205,12.175,25.085,10.828,"2,1","25,8"
02049 Molinicos,"55,4",829,"51,1","38,6","97,4","7,2","1,8",16.192,14.350,24.627,13.433,21.877,11.933,"2,3","28,5"
02050 Montalvos,"53,3",89,58,"33,7","98,9",9,"1,8",.,.,.,.,.,.,.,.
02051 Montealegre del Castillo,"45,5",2.001,"32,1","23,8","90,6","14,7","2,4",15.694,13.650,29.527,12.141,26.003,10.692,"2,4","29,3"
02052 Motilleja,"45,4",665,"39,2","22,1","92,5","15,5","2,2",16.173,15.050,29.123,13.037,25.594,11.457,"2,2","27,9"
02053 Munera,"46,3",3.409,"30,5","23,4","95,8","14,2","2,5",14.894,13.650,28.086,11.317,24.938,10.049,"2,1","25,3"
02054 Navas de Jorquera,"46,8",516,33,"27,3","78,5","13,8","2,4",15.879,15.050,29.641,12.065,26.356,10.728,"2,3","27,9"
02055 Nerpio,"50,5",1.175,"42,7","28,4","98,2","9,8","2,1",14.971,12.950,25.719,11.906,22.887,10.595,"2,6","29,3"
02056 Ontur,"47,5",1.917,"32,1","27,5","95,2","13,8","2,3",14.654,13.650,26.038,11.171,23.550,10.103,"2,2","27,9"
02057 Ossa de Montiel,48,2.213,"35,6","25,4","96,3","12,6","2,3",16.304,15.050,29.062,12.764,25.456,11.180,"2,1",27
02058 Paterna del Madera,"53,7",353,"55,7","35,7","97,7","9,4","1,8",15.306,12.950,22.922,12.939,20.314,11.467,"3,1","33,3"
02059 Peñascosa,"53,4",331,"45,1","34,4","98,5","6,7","1,9",17.317,17.150,27.235,14.325,23.870,12.556,"2,5","26,9"
02060 Peñas de San Pedro,"50,7",1.447,"61,6",28,"98,8","8,2","1,7",19.225,16.450,30.175,17.876,25.443,15.073,"2,5","29,5"
02061 Pétrola,"52,8",670,"45,9","35,1","92,8","9,4","2,1",16.679,14.350,28.812,13.842,25.183,12.098,"2,6","31,9"
02062 Povedilla,"52,8",396,"46,3","31,1",96,"7,3","1,9",14.825,13.650,23.594,12.127,21.265,10.930,"2,4","26,9"
